Show,MaxDepths,Run,Duration,Channels,Views,Likes
Parks and Recreation,1,8,0.0,9,1172536,24438
Parks and Recreation,1,9,0.0,12,11549376,147717
Parks and Recreation,10,10,63.900999999999996,18,18086363,207886
Parks and Recreation,1,11,0.0,7,3438933,102407
Parks and Recreation,1,12,0.0,5,69866769,1125029
Parks and Recreation,1,13,0.0,12,2919730,277551
Parks and Recreation,1,14,0.0,11,3221260,103694
Parks and Recreation,1,15,0.0,8,992015,36936
Parks and Recreation,1,16,0.0,14,3458299,108389
Parks and Recreation,1,17,0.0,12,2481929,220130
Parks and Recreation,1,18,0.0,12,8400752,252160
Parks and Recreation,1,19,0.0,9,8358731,160512
Parks and Recreation,1,20,0.0,11,3388547,313239
Parks and Recreation,2,21,5.817,4,3086403,50538
Parks and Recreation,1,22,0.0,6,1225177,21732
Parks and Recreation,3,23,20.184,6,1853963,27232
Parks and Recreation,1,24,0.0,11,2919730,277551
Parks and Recreation,1,25,0.0,15,860937,38274
Parks and Recreation,1,26,0.0,6,850635,15883
Parks and Recreation,1,27,0.0,13,8400752,252160
Parks and Recreation,2,28,20.45,5,2350600,40682
Parks and Recreation,3,29,8.834,10,50080561,523691
Parks and Recreation,6,30,49.551,8,5831915,105094
Parks and Recreation,2,31,14.917,10,4376705,58601
Parks and Recreation,7,32,60.132999999999996,12,47210275,456025
Parks and Recreation,1,33,0.0,6,850637,15883
Parks and Recreation,1,34,0.0,13,3547359,119420
Parks and Recreation,1,35,0.0,14,1488222,105347
Parks and Recreation,1,36,0.0,8,46065184,664715
Parks and Recreation,1,37,0.0,9,675699,16445
Parks and Recreation,1,38,0.0,8,2975267,38221
Parks and Recreation,4,39,40.217,8,14269885,115138
Parks and Recreation,2,40,20.35,8,3670907,45735
Parks and Recreation,1,41,0.0,15,277327,13794
Parks and Recreation,1,42,0.0,7,1478400,29739
Parks and Recreation,9,43,80.46799999999999,13,11383774,141834
Parks and Recreation,5,44,40.534,6,5899743,75707
Parks and Recreation,1,45,0.0,10,4388921,81383
Parks and Recreation,1,46,10.067,7,2358004,33536
Parks and Recreation,7,47,65.483,9,42631685,418743
Parks and Recreation,1,48,0.0,14,370251,19678
Parks and Recreation,4,49,20.383000000000003,7,7186058,101660
Parks and Recreation,1,50,0.0,9,675747,16445
Parks and Recreation,2,51,5.817,8,2861424,62576
Parks and Recreation,1,52,0.0,11,4920482,455233
Parks and Recreation,2,53,10.25,9,3123581,54454
Parks and Recreation,1,54,10.117,8,2195263,29797
Parks and Recreation,1,55,0.0,11,1060660,14808
Parks and Recreation,1,56,10.05,8,2953039,37375
Parks and Recreation,4,57,20.984,7,7017305,119015
Parks and Recreation,1,58,0.0,6,741116,13371
Parks and Recreation,1,59,10.1,7,1583610,21526
Parks and Recreation,5,60,30.200000000000003,12,14308672,416477
Parks and Recreation,1,61,0.0,12,8835902,567989
Parks and Recreation,1,62,0.0,6,190703,4502
Parks and Recreation,2,63,16.05,6,6818451,91666
Parks and Recreation,2,64,20.283,8,5196121,73275
Parks and Recreation,5,65,40.468,11,24338154,768238
Parks and Recreation,1,66,0.0,8,73846731,903408
Parks and Recreation,2,67,10.1,5,2994668,45800
Parks and Recreation,1,68,0.0,10,73846731,903408
Parks and Recreation,1,69,0.0,5,741117,13371
Parks and Recreation,4,70,29.434,9,40719634,404876
Parks and Recreation,9,71,81.016,10,10494359,140028
Parks and Recreation,1,72,0.0,9,681480,15894
Parks and Recreation,1,73,0.0,8,73846776,903408
Parks and Recreation,1,74,0.0,15,284995,14772
Parks and Recreation,3,75,18.517,13,10082686,197920
Parks and Recreation,1,76,0.0,9,52935552,775006
Parks and Recreation,12,77,75.183,11,17758019,222187
Parks and Recreation,1,78,0.0,7,675858,16450
Parks and Recreation,3,79,20.283,10,5119634,76930
Parks and Recreation,1,80,0.0,14,3359297,110006
Parks and Recreation,3,81,20.3,12,12673119,97831
Parks and Recreation,10,82,37.002,18,22338652,233617
Parks and Recreation,1,83,0.0,14,278366,13977
Parks and Recreation,6,84,35.083,11,50347775,539084
Parks and Recreation,2,85,10.25,8,3877318,66511
Parks and Recreation,1,86,0.0,10,1968400,51179
Parks and Recreation,6,87,50.45,8,10054700,129506
Parks and Recreation,11,88,76.984,11,16598615,227433
Parks and Recreation,1,89,0.0,8,46780503,678757
Parks and Recreation,1,90,4.05,6,2718635,36701
Parks and Recreation,3,91,20.283,10,16785000,126782
Parks and Recreation,4,92,14.949,9,5232919,57576
Parks and Recreation,1,93,0.0,15,8400960,252166
Parks and Recreation,7,94,50.566,16,37182316,360609
Parks and Recreation,1,95,0.0,9,47816205,699072
Parks and Recreation,1,96,0.0,9,6895892,111727
Parks and Recreation,1,97,0.0,7,954986,25729
Parks and Recreation,1,98,4.05,7,2718642,36701
Parks and Recreation,1,99,0.0,15,279065,13925
Parks and Recreation,1,100,0.0,9,49409310,771932
Community,1,1,0.0,12,362875,7271
Community,1,2,0.0,13,3883772,58074
Community,3,3,42.933,9,1185715,22253
Community,4,4,28.517,18,946766,20458
Community,5,5,67.583,17,8760872,321341
Community,1,6,0.0,15,793314,33076
Community,1,7,0.0,12,362875,7271
Community,1,8,0.0,11,3884807,154627
Community,2,9,9.55,14,4859176,54157
Community,1,10,0.0,13,507080,20864
Community,1,11,0.0,14,793314,33076
Community,3,12,8.484,16,2044956,35590
Community,6,13,13.915999999999999,18,4102072,120243
Community,1,14,0.0,12,289060,1477
Community,1,15,0.0,12,362875,7271
Community,11,16,107.218,16,4477897,82801
Community,1,17,0.0,7,3884807,154627
Community,5,18,15.817,18,3762012,76715
Community,1,19,0.0,14,4062568,35264
Community,1,20,0.0,6,3781172,116487
Community,2,21,21.45,16,4195621,40391
Community,1,22,0.0,13,4062568,35264
Community,1,23,0.0,12,4062568,35264
Community,1,24,0.0,15,3883779,58076
Community,7,25,21.017,14,2534235,34605
Community,7,26,23.801000000000002,9,3011792,41124
Community,1,27,0.0,7,218816,3409
Community,1,28,0.0,15,440385,6227
Community,4,29,13.950000000000001,19,3874173,88381
Community,1,30,0.0,12,793326,33076
Community,8,31,92.74900000000001,23,9050134,288616
Community,1,32,0.0,14,793326,33076
Community,1,33,0.0,15,793326,33076
Community,1,34,0.0,12,362879,7271
Community,2,35,4.667,11,2441252,26922
Community,1,36,0.0,13,362879,7271
Community,1,37,0.0,9,218816,3409
Community,2,38,9.55,12,974294,21473
Community,1,39,0.0,14,362879,7271
Community,1,40,0.0,9,793326,33076
Community,1,41,0.0,13,793326,33076
Community,1,42,0.0,15,5106,186
Community,4,43,9.55,18,4209527,56179
Community,3,44,24.983,14,1715138,40593
Community,4,45,47.3,18,6637628,262802
Community,1,46,0.0,14,362879,7271
Community,1,47,0.0,12,793326,33077
Community,8,48,64.80099999999999,17,5251961,115203
Community,5,49,68.43299999999999,25,1109862,23796
